Index,Repositories,Commits,Files,LOC,TF,Devs
0,vuejs/vue,3113,458,81858,1,329
1,facebook/react,13547,840,143848,4,1622
2,twbs/bootstrap,20007,247,35467,2,1419
3,d3/d3,4277,3,95,1,135
4,facebook/react-native,20897,3542,410085,14,3061
5,facebook/create-react-app,2591,113,4854,4,879
6,axios/axios,961,77,5175,1,267
7,nodejs/node,31551,4526,423490,15,3236
8,angular/angular.js,9020,376,128792,6,1880
9,puppeteer/puppeteer,1940,230,29680,2,316
10,mrdoob/three.js,34938,815,142363,3,1777
11,mui-org/material-ui,12519,1576,84710,3,2095
12,webpack/webpack,11876,4104,106133,1,754
13,jquery/jquery,6511,235,29268,3,336
14,atom/atom,37687,688,157139,4,632
15,hakimel/reveal.js,2699,72,10394,1,319
16,socketio/socket.io,1731,6,3107,1,181
17,expressjs/express,5592,110,13499,2,292
18,Semantic-Org/Semantic-UI,6684,130,48211,1,240
19,chartjs/Chart.js,3286,124,28387,3,380
20,typicode/json-server,795,38,2683,1,75
21,zeit/next.js,6873,2138,87074,3,1341
22,h5bp/html5-boilerplate,1914,7,327,3,319
23,adam-p/markdown-here,807,91,24018,1,13
24,resume/resume.github.com,263,15,1173,2,59
25,lodash/lodash,7998,702,22980,1,336
26,moment/moment,3920,606,278032,2,678
27,gatsbyjs/gatsby,16605,2257,171769,11,4044
28,meteor/meteor,22982,1283,160886,4,575
29,apache/incubator-echarts,5984,504,64850,2,158
30,ReactTraining/react-router,4570,64,3417,2,696
31,yarnpkg/yarn,2339,441,38652,5,552
32,Dogfalo/materialize,3878,153,17395,2,324
33,nwjs/nw.js,4232,806,77793,1,138
34,babel/babel,13925,12059,147376,5,1033
35,impress/impress.js,386,38,6673,1,78
36,prettier/prettier,4632,4019,92205,2,554
37,parcel-bundler/parcel,2013,1876,71292,4,291
38,serverless/serverless,12935,614,77981,5,965
39,juliangarnier/anime,705,4,3240,1,53
40,ColorlibHQ/AdminLTE,1537,691,340547,1,103
41,TryGhost/Ghost,11585,1188,120934,3,433
42,Unitech/pm2,4821,258,24289,1,307
43,gulpjs/gulp,1180,6,399,1,262
44,adobe/brackets,17845,1152,241789,6,543
45,sveltejs/svelte,5893,3643,46587,1,372
46,hexojs/hexo,3419,282,20433,1,200
47,mozilla/pdf.js,12873,218,90711,2,421
48,sahat/hackathon-starter,2522,54,4547,1,205
49,alvarotrigo/fullPage.js,1875,41,6543,1,167
50,immutable-js/immutable-js,1556,184,16865,1,219
51,slatedocs/slate,608,23,1973,1,137
52,koajs/koa,1086,76,4577,2,228
53,algorithm-visualizer/algorithm-visualizer,661,80,3436,1,33
54,mermaid-js/mermaid,2869,213,29146,1,223
55,styled-components/styled-components,3150,223,12705,2,338
56,zenorocha/clipboard.js,289,7,560,1,61
57,apache/incubator-superset,5612,1329,132019,5,532
58,jashkenas/backbone,3386,15,11507,2,363
59,videojs/video.js,3577,245,28378,3,487
60,Leaflet/Leaflet,6855,229,20614,2,828
61,photonstorm/phaser,14852,1848,111677,1,577
62,caolan/async,1790,176,14388,2,268
63,tastejs/todomvc,2901,27,3327,3,377
64,iamkun/dayjs,1187,237,12264,2,207
65,quilljs/quill,5207,100,12215,1,137
66,nuxt/nuxt.js,5088,303,24401,2,323
67,RocketChat/Rocket.Chat,18621,3270,223559,5,852
68,preactjs/preact,4402,165,26482,3,295
69,kenwheeler/slick,921,10,3283,1,179
70,jashkenas/underscore,2623,171,8780,1,339
71,react-boilerplate/react-boilerplate,1457,247,6950,3,243
72,nylas/nylas-mail,6116,1478,131892,2,133
73,vuejs/vue-cli,3049,583,40064,2,396
74,select2/select2,2609,68,6132,1,542
75,request/request,2270,79,9869,7,358
76,Modernizr/Modernizr,2565,423,8382,4,336
77,NervJS/taro,6224,1175,121451,2,343
78,standard/standard,1683,7,205,1,166
79,github/fetch,632,10,2102,2,69
80,carbon-app/carbon,1530,91,10552,1,153
81,vuejs/vuex,1057,34,4432,2,315
82,nolimits4web/swiper,1788,158,10446,1,203
83,Marak/faker.js,1192,1603,125570,2,251
84,jiahaog/nativefier,878,57,3387,1,115
85,postcss/postcss,2865,48,5762,1,345
86,strapi/strapi,14323,2026,132641,2,684
87,transloadit/uppy,7791,524,38719,2,261
88,GitbookIO/gitbook,2377,277,9155,1,102
89,markedjs/marked,2185,136,10265,2,138
90,date-fns/date-fns,1458,1331,63418,1,299
91,lerna/lerna,2029,368,23658,1,283
92,emberjs/ember.js,20026,1020,122208,7,1128
93,webtorrent/webtorrent,2666,43,4797,1,171
94,mobxjs/mobx,2814,115,29405,1,260
95,cheeriojs/cheerio,1153,28,9502,3,130
96,sequelize/sequelize,8745,318,83359,4,1084
97,balderdashy/sails,7045,229,24419,2,299
98,ajaxorg/ace,7870,828,207768,2,506
99,VincentGarreau/particles.js,235,1,1081,1,16
