Index,Repositories,Commits,Files,LOC,TF,Devs
0,laravel/laravel,6348,54,1242,1,692
1,blueimp/jQuery-File-Upload,1247,31,3885,1,109
2,fzaninotto/Faker,2614,588,106614,13,540
3,danielmiessler/SecLists,957,44,2596,2,174
4,symfony/symfony,50818,5692,422077,3,3119
5,composer/composer,9933,479,59675,2,1058
6,laravel/framework,29388,1450,137405,2,3050
7,guzzle/guzzle,3506,71,8869,1,400
8,domnikl/DesignPatternsPHP,1085,174,3220,2,188
9,bcit-ci/CodeIgniter,10156,340,37078,2,656
10,sebastianbergmann/phpunit,14094,1071,45924,1,499
11,PHPMailer/PHPMailer,1627,69,7149,1,225
12,briannesbitt/Carbon,2678,1911,154880,1,286
13,WordPress/WordPress,42351,1507,510877,10,102
14,yiisoft/yii2,19395,1046,118894,5,1446
15,matomo-org/matomo,26847,3685,393603,3,367
16,nikic/PHP-Parser,1298,294,21684,1,117
17,erusev/parsedown,843,70,2110,1,45
18,getgrav/grav,5362,387,39697,2,205
19,filp/whoops,1083,48,4297,1,148
20,phacility/phabricator,16761,7064,563715,1,348
21,PHPOffice/PHPExcel,1274,265,62418,2,77
22,phanan/koel,1789,344,20083,1,59
23,thephpleague/flysystem,1873,94,6167,1,251
24,CachetHQ/Cachet,7259,1082,70866,1,224
25,barryvdh/laravel-debugbar,863,56,4758,1,144
26,roots/sage,2294,48,770,2,249
27,Intervention/image,650,195,11608,1,97
28,slimphp/Slim,4089,123,10205,1,280
29,vlucas/phpdotenv,509,55,2871,1,63
30,ramsey/uuid,1016,183,12256,1,88
31,phalcon/cphalcon,13559,4624,177396,1,392
32,flarum/flarum,318,4,20,2,26
33,nextcloud/server,55210,5518,523794,6,949
34,barryvdh/laravel-ide-helper,719,110,4105,3,183
35,octobercms/october,5534,1260,162116,1,481
36,monicahq/monica,2643,1559,119016,2,217
37,serbanghita/Mobile-Detect,777,9,1202,1,106
38,the-control-group/voyager,3001,1310,327534,3,419
39,mockery/mockery,1867,154,10458,2,213
40,doctrine/inflector,310,62,3084,1,82
41,swiftmailer/swiftmailer,1589,289,27402,2,180
42,tymondesigns/jwt-auth,1470,98,5107,1,80
43,doctrine/lexer,66,4,425,3,31
44,doctrine/instantiator,319,23,594,1,31
45,dingo/api,1362,128,7546,1,124
46,overtrue/wechat,1672,575,25227,2,154
47,egulias/EmailValidator,228,75,2369,1,56
48,FriendsOfPHP/PHP-CS-Fixer,6471,865,116937,3,291
49,php-fig/log,76,11,312,1,25
50,bobthecow/psysh,1621,245,16882,1,72
51,magento/magento2,112936,25277,1846734,2,2519
52,phpstan/phpstan,4437,91,1110,1,234
53,Maatwebsite/Laravel-Excel,1288,228,10220,1,145
54,walkor/Workerman,1414,33,5452,1,89
55,php-fig/container,169,3,17,1,34
56,cakephp/cakephp,41881,1415,194393,3,787
57,z-song/laravel-admin,2938,553,35400,1,287
58,symfony/console,3087,211,18094,5,355
59,phpspec/prophecy,604,183,8670,2,112
60,doctrine/orm,11533,1195,96760,5,884
61,squizlabs/PHP_CodeSniffer,6480,1042,66524,1,238
62,php-fig/simple-cache,18,3,23,1,8
63,paragonie/random_compat,404,30,1262,1,37
64,top-think/think,2026,26,328,1,57
65,reactphp/reactphp,943,1,10,3,43
66,symfony/http-foundation,3572,158,14918,3,473
67,sebastianbergmann/php-code-coverage,2009,167,14762,1,106
68,symfony/event-dispatcher,888,17,2067,3,114
69,myclabs/DeepCopy,142,57,1539,2,24
70,symfony/finder,943,44,3792,1,133
71,owncloud/core,44063,4064,409283,5,671
72,symfony/thanks,94,4,406,1,18
73,symfony/http-kernel,5151,253,17726,3,393
74,dompdf/dompdf,1198,89,23956,2,142
75,twigphp/Twig,5426,289,17204,2,415
76,doctrine/dbal,8941,523,55104,3,527
77,symfony/polyfill-mbstring,60,5,3566,1,22
78,laravel/lumen,277,23,265,1,69
79,googleapis/google-api-php-client,1708,53,6258,2,142
80,guyueyingmu/avbook,39,138,10014,1,1
81,typecho/typecho,1155,232,40971,1,75
82,fideloper/TrustedProxy,222,4,330,1,30
83,symfony/routing,2038,191,14211,3,210
84,symfony/process,1529,29,3204,4,170
85,sebastianbergmann/php-timer,211,10,279,1,12
86,sebastianbergmann/diff,257,39,4162,2,24
87,symfony/var-dumper,1347,97,9928,1,109
88,Zizaco/entrust,442,24,1990,3,110
89,sebastianbergmann/php-token-stream,389,210,2363,1,29
90,laravel/tinker,166,7,345,2,28
91,phar-io/manifest,115,85,2010,1,9
92,phar-io/version,63,30,862,2,10
93,hamcrest/hamcrest-php,131,136,6463,2,23
94,php-pm/php-pm,397,28,2457,2,75
95,directus/directus,14992,530,40751,1,96
96,DevinVinson/WordPress-Plugin-Boilerplate,510,19,175,1,74
97,sebastianbergmann/comparator,231,39,2087,2,26
98,guzzle/promises,178,26,2889,1,31
99,JakubOnderka/PHP-Console-Highlighter,63,2,410,1,9
