Index,Repositories,Commits,Files,LOC,TF,Devs,Linguagem
0,vuejs/vue,3113,458,81858,1,329,javascript
1,facebook/react,13547,840,143848,4,1622,javascript
2,twbs/bootstrap,20007,247,35467,2,1419,javascript
3,d3/d3,4277,3,95,1,135,javascript
4,facebook/react-native,20897,3542,410085,14,3061,javascript
5,facebook/create-react-app,2591,113,4854,4,879,javascript
6,axios/axios,961,77,5175,1,267,javascript
7,nodejs/node,31551,4526,423490,15,3236,javascript
8,angular/angular.js,9020,376,128792,6,1880,javascript
9,puppeteer/puppeteer,1940,230,29680,2,316,javascript
10,mrdoob/three.js,34938,815,142363,3,1777,javascript
11,mui-org/material-ui,12519,1576,84710,3,2095,javascript
12,webpack/webpack,11876,4104,106133,1,754,javascript
13,jquery/jquery,6511,235,29268,3,336,javascript
14,atom/atom,37687,688,157139,4,632,javascript
15,hakimel/reveal.js,2699,72,10394,1,319,javascript
16,socketio/socket.io,1731,6,3107,1,181,javascript
17,expressjs/express,5592,110,13499,2,292,javascript
18,Semantic-Org/Semantic-UI,6684,130,48211,1,240,javascript
19,chartjs/Chart.js,3286,124,28387,3,380,javascript
20,typicode/json-server,795,38,2683,1,75,javascript
21,zeit/next.js,6873,2138,87074,3,1341,javascript
22,h5bp/html5-boilerplate,1914,7,327,3,319,javascript
23,adam-p/markdown-here,807,91,24018,1,13,javascript
24,resume/resume.github.com,263,15,1173,2,59,javascript
25,lodash/lodash,7998,702,22980,1,336,javascript
26,moment/moment,3920,606,278032,2,678,javascript
27,gatsbyjs/gatsby,16605,2257,171769,11,4044,javascript
28,meteor/meteor,22982,1283,160886,4,575,javascript
29,apache/incubator-echarts,5984,504,64850,2,158,javascript
30,ReactTraining/react-router,4570,64,3417,2,696,javascript
31,yarnpkg/yarn,2339,441,38652,5,552,javascript
32,Dogfalo/materialize,3878,153,17395,2,324,javascript
33,nwjs/nw.js,4232,806,77793,1,138,javascript
34,babel/babel,13925,12059,147376,5,1033,javascript
35,impress/impress.js,386,38,6673,1,78,javascript
36,prettier/prettier,4632,4019,92205,2,554,javascript
37,parcel-bundler/parcel,2013,1876,71292,4,291,javascript
38,serverless/serverless,12935,614,77981,5,965,javascript
39,juliangarnier/anime,705,4,3240,1,53,javascript
40,ColorlibHQ/AdminLTE,1537,691,340547,1,103,javascript
41,TryGhost/Ghost,11585,1188,120934,3,433,javascript
42,Unitech/pm2,4821,258,24289,1,307,javascript
43,gulpjs/gulp,1180,6,399,1,262,javascript
44,adobe/brackets,17845,1152,241789,6,543,javascript
45,sveltejs/svelte,5893,3643,46587,1,372,javascript
46,hexojs/hexo,3419,282,20433,1,200,javascript
47,mozilla/pdf.js,12873,218,90711,2,421,javascript
48,sahat/hackathon-starter,2522,54,4547,1,205,javascript
49,alvarotrigo/fullPage.js,1875,41,6543,1,167,javascript
50,immutable-js/immutable-js,1556,184,16865,1,219,javascript
51,slatedocs/slate,608,23,1973,1,137,javascript
52,koajs/koa,1086,76,4577,2,228,javascript
53,algorithm-visualizer/algorithm-visualizer,661,80,3436,1,33,javascript
54,mermaid-js/mermaid,2869,213,29146,1,223,javascript
55,styled-components/styled-components,3150,223,12705,2,338,javascript
56,zenorocha/clipboard.js,289,7,560,1,61,javascript
57,apache/incubator-superset,5612,1329,132019,5,532,javascript
58,jashkenas/backbone,3386,15,11507,2,363,javascript
59,videojs/video.js,3577,245,28378,3,487,javascript
60,Leaflet/Leaflet,6855,229,20614,2,828,javascript
61,photonstorm/phaser,14852,1848,111677,1,577,javascript
62,caolan/async,1790,176,14388,2,268,javascript
63,tastejs/todomvc,2901,27,3327,3,377,javascript
64,iamkun/dayjs,1187,237,12264,2,207,javascript
65,quilljs/quill,5207,100,12215,1,137,javascript
66,nuxt/nuxt.js,5088,303,24401,2,323,javascript
67,RocketChat/Rocket.Chat,18621,3270,223559,5,852,javascript
68,preactjs/preact,4402,165,26482,3,295,javascript
69,kenwheeler/slick,921,10,3283,1,179,javascript
70,jashkenas/underscore,2623,171,8780,1,339,javascript
71,react-boilerplate/react-boilerplate,1457,247,6950,3,243,javascript
72,nylas/nylas-mail,6116,1478,131892,2,133,javascript
73,vuejs/vue-cli,3049,583,40064,2,396,javascript
74,select2/select2,2609,68,6132,1,542,javascript
75,request/request,2270,79,9869,7,358,javascript
76,Modernizr/Modernizr,2565,423,8382,4,336,javascript
77,NervJS/taro,6224,1175,121451,2,343,javascript
78,standard/standard,1683,7,205,1,166,javascript
79,github/fetch,632,10,2102,2,69,javascript
80,carbon-app/carbon,1530,91,10552,1,153,javascript
81,vuejs/vuex,1057,34,4432,2,315,javascript
82,nolimits4web/swiper,1788,158,10446,1,203,javascript
83,Marak/faker.js,1192,1603,125570,2,251,javascript
84,jiahaog/nativefier,878,57,3387,1,115,javascript
85,postcss/postcss,2865,48,5762,1,345,javascript
86,strapi/strapi,14323,2026,132641,2,684,javascript
87,transloadit/uppy,7791,524,38719,2,261,javascript
88,GitbookIO/gitbook,2377,277,9155,1,102,javascript
89,markedjs/marked,2185,136,10265,2,138,javascript
90,date-fns/date-fns,1458,1331,63418,1,299,javascript
91,lerna/lerna,2029,368,23658,1,283,javascript
92,emberjs/ember.js,20026,1020,122208,7,1128,javascript
93,webtorrent/webtorrent,2666,43,4797,1,171,javascript
94,mobxjs/mobx,2814,115,29405,1,260,javascript
95,cheeriojs/cheerio,1153,28,9502,3,130,javascript
96,sequelize/sequelize,8745,318,83359,4,1084,javascript
97,balderdashy/sails,7045,229,24419,2,299,javascript
98,ajaxorg/ace,7870,828,207768,2,506,javascript
99,VincentGarreau/particles.js,235,1,1081,1,16,javascript
100,elastic/elasticsearch,54518,14120,1754569,17,1817,java
101,spring-projects/spring-boot,28488,5707,317454,2,950,java
102,ReactiveX/RxJava,5777,1865,311333,1,323,java
103,square/okhttp,4683,331,62036,2,293,java
104,google/guava,5323,3067,488702,3,409,java
105,spring-projects/spring-framework,21453,7364,669692,4,629,java
106,square/retrofit,1855,279,26475,1,193,java
107,apache/dubbo,4393,2268,162848,3,402,java
108,macrozheng/mall,554,530,67746,1,3,java
109,PhilJay/MPAndroidChart,2064,223,25251,1,90,java
110,bumptech/glide,2520,608,67125,1,172,java
111,airbnb/lottie-android,1211,274,20112,1,100,java
112,proxyee-down-org/proxyee-down,474,67,7406,1,18,java
113,JakeWharton/butterknife,1016,160,13870,1,115,java
114,zxing/zxing,3545,591,45556,2,150,java
115,crossoverJie/JCSprout,704,106,4053,1,30,java
116,netty/netty,9961,2663,296554,3,651,java
117,greenrobot/EventBus,507,97,5897,1,30,java
118,skylot/jadx,1314,1029,71207,1,57,java
119,alibaba/fastjson,3718,2964,178399,1,198,java
120,alibaba/druid,6152,4211,315380,1,215,java
121,scwang90/SmartRefreshLayout,1064,210,20340,1,10,java
122,NationalSecurityAgency/ghidra,3004,11008,1554229,1,130,java
123,ctripcorp/apollo,2411,864,68075,2,108,java
124,alibaba/arthas,1290,670,79842,1,128,java
125,CymChad/BaseRecyclerViewAdapterHelper,1199,135,6931,1,66,java
126,Netflix/Hystrix,2109,400,50774,2,154,java
127,ReactiveX/RxAndroid,510,12,1328,1,87,java
128,google/gson,1485,204,25139,2,121,java
129,square/picasso,1366,78,9602,2,134,java
130,SeleniumHQ/selenium,25487,4354,337625,2,669,java
131,nostra13/Android-Universal-Image-Loader,1038,49,4224,1,43,java
132,libgdx/libgdx,14331,3939,751340,3,700,java
133,chrisbanes/PhotoView,453,13,1055,1,50,java
134,facebook/fresco,2613,909,80197,2,339,java
135,apache/kafka,7927,3406,503204,13,1564,java
136,google/ExoPlayer,7990,962,154852,3,237,java
137,jenkinsci/jenkins,30374,2877,209070,6,1029,java
138,Tencent/tinker,619,250,30417,2,49,java
139,seata/seata,1062,1258,73843,4,199,java
140,lenve/vhr,143,141,12014,1,3,java
141,bazelbuild/bazel,27144,6114,820364,14,837,java
142,qiurunze123/miaosha,213,593,49524,1,9,java
143,DrKLO/Telegram,376,8223,1794869,1,18,java
144,CarGuo/GSYVideoPlayer,1173,264,29890,1,14,java
145,halo-dev/halo,1864,515,31707,2,62,java
146,didi/DoraemonKit,1323,1933,118681,2,100,java
147,lgvalle/Material-Animations,76,15,992,1,11,java
148,xuxueli/xxl-job,1604,182,15165,2,76,java
149,dianping/cat,7302,2622,498134,4,135,java
150,signalapp/Signal-Android,6068,1854,190498,3,262,java
151,alibaba/canal,1390,828,69441,2,162,java
