Index,Repositories,Commits,Files,LOC,TF,Devs
0,elastic/elasticsearch,54518,14120,1754569,17,1817
1,spring-projects/spring-boot,28488,5707,317454,2,950
2,ReactiveX/RxJava,5777,1865,311333,1,323
3,square/okhttp,4683,331,62036,2,293
4,google/guava,5323,3067,488702,3,409
5,spring-projects/spring-framework,21453,7364,669692,4,629
6,square/retrofit,1855,279,26475,1,193
7,apache/dubbo,4393,2268,162848,3,402
8,macrozheng/mall,554,530,67746,1,3
9,PhilJay/MPAndroidChart,2064,223,25251,1,90
10,bumptech/glide,2520,608,67125,1,172
11,airbnb/lottie-android,1211,274,20112,1,100
12,proxyee-down-org/proxyee-down,474,67,7406,1,18
13,JakeWharton/butterknife,1016,160,13870,1,115
14,zxing/zxing,3545,591,45556,2,150
15,crossoverJie/JCSprout,704,106,4053,1,30
16,netty/netty,9961,2663,296554,3,651
17,greenrobot/EventBus,507,97,5897,1,30
18,skylot/jadx,1314,1029,71207,1,57
19,alibaba/fastjson,3718,2964,178399,1,198
20,alibaba/druid,6152,4211,315380,1,215
21,scwang90/SmartRefreshLayout,1064,210,20340,1,10
22,NationalSecurityAgency/ghidra,3004,11008,1554229,1,130
23,ctripcorp/apollo,2411,864,68075,2,108
24,alibaba/arthas,1290,670,79842,1,128
25,CymChad/BaseRecyclerViewAdapterHelper,1199,135,6931,1,66
26,Netflix/Hystrix,2109,400,50774,2,154
27,ReactiveX/RxAndroid,510,12,1328,1,87
28,google/gson,1485,204,25139,2,121
29,square/picasso,1366,78,9602,2,134
30,SeleniumHQ/selenium,25487,4354,337625,2,669
31,nostra13/Android-Universal-Image-Loader,1038,49,4224,1,43
32,libgdx/libgdx,14331,3939,751340,3,700
33,chrisbanes/PhotoView,453,13,1055,1,50
34,facebook/fresco,2613,909,80197,2,339
35,apache/kafka,7927,3406,503204,13,1564
36,google/ExoPlayer,7990,962,154852,3,237
37,jenkinsci/jenkins,30374,2877,209070,6,1029
38,Tencent/tinker,619,250,30417,2,49
39,seata/seata,1062,1258,73843,4,199
40,lenve/vhr,143,141,12014,1,3
41,bazelbuild/bazel,27144,6114,820364,14,837
42,qiurunze123/miaosha,213,593,49524,1,9
43,DrKLO/Telegram,376,8223,1794869,1,18
44,CarGuo/GSYVideoPlayer,1173,264,29890,1,14
45,halo-dev/halo,1864,515,31707,2,62
46,didi/DoraemonKit,1323,1933,118681,2,100
47,lgvalle/Material-Animations,76,15,992,1,11
48,xuxueli/xxl-job,1604,182,15165,2,76
49,dianping/cat,7302,2622,498134,4,135
50,signalapp/Signal-Android,6068,1854,190498,3,262
51,alibaba/canal,1390,828,69441,2,162
52,react-native-community/lottie-react-native,467,27,1208,2,99
53,openzipkin/zipkin,2469,622,59658,1,122
54,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,184,89,1386,1,41
55,apache/skywalking,5892,3335,148540,5,339
56,brettwooldridge/HikariCP,2730,100,13242,1,116
57,dbeaver/dbeaver,17066,3979,388805,2,213
58,redisson/redisson,5906,1546,158408,1,124
59,orhanobut/logger,144,23,1380,1,15
60,LMAX-Exchange/disruptor,987,206,13982,2,55
61,greenrobot/greenDAO,880,240,20743,1,12
62,oracle/graal,47060,10018,977674,9,322
63,alibaba/spring-cloud-alibaba,1574,412,23152,3,116
64,facebook/stetho,580,262,18926,1,60
65,daimajia/AndroidSwipeLayout,175,11,1889,2,25
66,eclipse/deeplearning4j,1002,8044,904535,2,51
67,alibaba/ARouter,273,87,4165,1,21
68,linlinjava/litemall,1069,729,106513,1,57
69,Curzibn/Luban,187,16,1017,1,15
70,Bigkoo/Android-PickerView,490,40,4287,1,29
71,wix/react-native-navigation,4903,1059,50215,2,387
72,jfeinstein10/SlidingMenu,336,33,3212,1,30
73,androidannotations/androidannotations,2924,923,37861,3,99
74,Konloch/bytecode-viewer,297,158,23284,2,26
75,alibaba/Sentinel,631,1137,67832,1,119
76,realm/realm-java,8333,668,103975,2,140
77,eclipse-vertx/vert.x,4638,836,123841,3,204
78,zhihu/Matisse,223,46,3983,1,41
79,alibaba/nacos,2747,1002,96198,3,197
80,Tencent/VasSonic,372,158,17499,2,26
81,Tamsiree/RxTool,794,458,50489,1,13
82,android-async-http/android-async-http,898,37,4227,1,106
83,apache/rocketmq,1415,1012,97317,1,303
84,prestodb/presto,18109,6823,817311,13,566
85,mockito/mockito,5341,950,55817,1,262
86,apache/hadoop,24173,12434,1908489,16,591
87,alibaba/vlayout,364,43,11433,1,22
88,Tencent/QMUI_Android,732,446,62463,1,20
89,zhangdaiscott/jeecg-boot,307,736,133984,1,10
90,looly/hutool,969,1323,89010,1,81
91,arduino/Arduino,7275,446,39050,3,330
92,naver/pinpoint,11386,6395,325899,3,145
93,jeasonlzy/okhttp-OkGo,250,104,6887,1,8
94,wasabeef/recyclerview-animators,292,38,1732,1,35
95,permissions-dispatcher/PermissionsDispatcher,735,123,13152,2,45
96,liaohuqiu/android-Ultra-Pull-To-Refresh,182,52,5256,1,12
97,iBotPeaches/Apktool,1656,147,12781,1,94
98,H07000223/FlycoTabLayout,40,16,2783,1,2
99,ksoichiro/Android-ObservableScrollView,383,78,6244,1,18
